"smelt_ID","smelt_date","smelt_survey","smelt_station","smelt_sal","smelt_secchi","smelt_temp","smelt_lat","smelt_long","zoop_ID","zoop_station","zoop_date","zoop_lat","zoop_long","zoop_sal_avg"
"2014_FMWT_7008",2014-10-09,"FMWT","706",2.485899198,0.479999989,20.89999962,38.0903,-121.74,"EMP NZ064 2014-10-03","NZ064",2014-10-03,38.0847222222222,-121.738055555556,3.41615982396694
"2014_FMWT_7009",2014-10-09,"FMWT","706",2.485899198,0.479999989,20.89999962,38.0903,-121.74,"EMP NZ064 2014-10-03","NZ064",2014-10-03,38.0847222222222,-121.738055555556,3.41615982396694
"2014_SFBS_DS54",2014-08-14,"SFBS","752",1.104918335,0.5,21.2,38.1042,-121.7125,"EMP NZEZ2 2014-08-19","NZEZ2",2014-08-19,38.1082,-121.7164,1.01133768459373
"2014_SFBS_DS58",2014-08-14,"SFBS","751",1.405145862,0.4,20.9,38.1055,-121.717,"EMP NZEZ2 2014-08-19","NZEZ2",2014-08-19,38.1082,-121.7164,1.01133768459373
"2014_SFBS_DS59",2014-08-14,"SFBS","751",1.405145862,0.4,20.9,38.1055,-121.717,"EMP NZEZ2 2014-08-19","NZEZ2",2014-08-19,38.1082,-121.7164,1.01133768459373
"2014_SFBS_DS60",2014-08-14,"SFBS","751",1.405145862,0.4,20.9,38.1055,-121.717,"EMP NZEZ2 2014-08-19","NZEZ2",2014-08-19,38.1082,-121.7164,1.01133768459373
"2014_SFBS_DS63",2014-08-14,"SFBS","751",1.405145862,0.4,20.9,38.1055,-121.717,"EMP NZEZ2 2014-08-19","NZEZ2",2014-08-19,38.1082,-121.7164,1.01133768459373
"2018_EDSM_0301",2018-08-13,"EDSM","19-03-LSR01",3.124830871,0.23,21.7,38.0676,-121.82185,"EMP NZ060 2018-08-02","NZ060",2018-08-02,38.0644444444444,-121.828888888889,2.43233139653868
"2013_TNS_0309",2013-08-21,"STN","804",2.220267602,0.53,20.89999962,38.02308,-121.79868,"EMP NZ074 2013-08-12","NZ074",2013-08-12,38.0222222222222,-121.803611111111,1.62697358199447
"2013_TNS_0310",2013-08-21,"STN","801",2.918683955,0.51,21.10000038,38.05561111,-121.847,"EMP NZ060 2013-08-14","NZ060",2013-08-14,38.0644444444444,-121.828888888889,3.00640327908722
"2014_FMWT_7008",2014-10-09,"FMWT","706",2.485899198,0.479999989,20.89999962,38.0903,-121.74,"FMWT 706 2014-10-09","706",2014-10-09,38.0903,-121.74,2.56353436825996
"2014_FMWT_7009",2014-10-09,"FMWT","706",2.485899198,0.479999989,20.89999962,38.0903,-121.74,"FMWT 706 2014-10-09","706",2014-10-09,38.0903,-121.74,2.56353436825996
"2018_EDSM_0409",2018-11-01,"EDSM","19-14-LSSC06",0.282459114,0.34,16.9,38.41457,-121.61108,"FMWT 797 2018-11-08","797",2018-11-08,38.40462,-121.6156,0.260961436904096
"2018_EDSM_0410",2018-11-01,"EDSM","19-14-LSSC06",0.282459114,0.34,16.9,38.41457,-121.61108,"FMWT 797 2018-11-08","797",2018-11-08,38.40462,-121.6156,0.260961436904096
"2018_EDSM_0412",2018-11-01,"EDSM","19-14-LSSC06",0.282459114,0.34,16.9,38.41457,-121.61108,"FMWT 797 2018-11-08","797",2018-11-08,38.40462,-121.6156,0.260961436904096
"2015_FMWT_7256",2015-09-09,"FMWT","704",1.757411101,0.550000012,22.5,38.07087,-121.77892,"FMWT 704 2015-09-09","704",2015-09-09,38.07087,-121.77892,2.47627834433856
